text,label
Congratulations! You won a lottery,spam
Claim your free iPhone now,spam
Win money instantly,spam
Limited offer click now,spam
Get rich quickly,spam
You have been selected for a cash prize,spam
Earn dollars from home easily,spam
Exclusive deal only for today,spam
Click here to claim your reward,spam
Your account has won bonus cash,spam
Free vacation tickets available now,spam
Lowest loan rates available today,spam
Urgent response needed to claim reward,spam
Double your money in one week,spam
You are chosen for a free gift card,spam
Act now to receive free cashback,spam
Special offer expires tonight,spam
You won a shopping voucher,spam
Congratulations you are our lucky winner,spam
Get unlimited followers instantly,spam
Cheap medicines available online,spam
Claim your free Netflix subscription,spam
Get rich using this secret trick,spam
Free recharge available click now,spam
Limited seats apply immediately,spam
Winner! Claim your free laptop now,spam
You have received bonus points,spam
Instant approval for personal loans,spam
Lowest insurance rates guaranteed,spam
Earn passive income with no work,spam
Claim your crypto reward today,spam
Get premium membership for free,spam
This investment will make you rich,spam
Free Bitcoin available now,spam
Congratulations you have won cash,spam
Unlock hidden income opportunities,spam
Receive money directly into account,spam
Get your free trial instantly,spam
Win a car by registering today,spam
Special discount available now,spam
Meeting tomorrow at 10 AM,ham
Please submit assignment today,ham
Project discussion at 5 PM,ham
Lunch at cafeteria?,ham
Call me when free,ham
Class starts at 9 AM tomorrow,ham
Can you send the notes?,ham
Team meeting postponed to Friday,ham
Please review the project document,ham
Assignment deadline extended,ham
Let us meet after class,ham
Exam timetable has been released,ham
Your library book is due tomorrow,ham
Please attend the workshop today,ham
The seminar starts at 2 PM,ham
Can you help me with coding?,ham
Dinner plan for tonight?,ham
Submit lab records before Monday,ham
Your attendance is updated,ham
Faculty meeting scheduled today,ham
Let us work on the project together,ham
Check the email from professor,ham
Please bring your ID card,ham
Classroom changed to block B,ham
Happy birthday have a great day,ham
Your order has been delivered,ham
Can we discuss the presentation?,ham
The event starts at 6 PM,ham
Please complete the registration form,ham
I will call you later,ham
Movie night this weekend?,ham
Please share the PPT file,ham
Your payment was successful,ham
Meeting link has been shared,ham
Please update your profile,ham
Can you join the call now?,ham
Your train ticket is confirmed,ham
We are waiting outside the hall,ham
Let us practice for the interview,ham
The workshop certificate is ready,ham
Win free diamonds in game,spam
Claim your free gaming rewards,spam
Hot investment opportunity available,spam
Get instant cashback today,spam
Free entry into premium contest,spam
Claim your shopping reward now,spam
Best online casino bonus here,spam
Increase Instagram followers quickly,spam
Congratulations you won free coupons,spam
Limited offer for lucky customers,spam
Free data recharge click now,spam
Special holiday package available,spam
Get instant access to premium account,spam
Earn money without investment,spam
Claim your cashback immediately,spam
Fastest way to become millionaire,spam
You have won an Amazon voucher,spam
Free movie tickets available now,spam
Exclusive membership for selected users,spam
Lowest prices only today,spam
Please attend tomorrow's lecture,ham
Can you send the homework answers?,ham
The bus will arrive at 8 AM,ham
Your application has been approved,ham
Please update the spreadsheet,ham
The results will be announced tomorrow,ham
Can we meet in the library?,ham
The interview has been rescheduled,ham
Please upload your assignment PDF,ham
Let us start the coding session,ham
Reminder for tomorrow's meeting,ham
The food festival starts today,ham
Please submit the fees before Friday,ham
Join the Zoom call at 4 PM,ham
The project review was successful,ham
Can you explain this program?,ham
Your package is out for delivery,ham
Thank you for your support,ham
Please check the attached file,ham
See you at the basketball match,ham
